No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
1,16 Juli 2020,88826,ATM00001,RUANG UAT DPTI,Error ,Hardware ,"Check & Clean all devices, replace ............... / no replace, test OK. ",2007-100 ,Hard Disk ,1 , ,M. Yani ,
2,03 Maret 2020,86010,ATM120029008,PLN AHMAD YANI,Error ,Hardware ,"Check & Clean all devices, replace EPP5 & CCA DISPENSER, test OK. ",2003-028 ,CCA Dispenser (CCA Kit Presenter Ctrl.) 49-74724-0 ,1 , ,Hendri Apridzal ,
,,,,,,,,,"EPP5(BSC),LGE,STTL,ENG(AU),QZ1,BLANK,X,I,O ",1 , ,Hendri Apridzal ,
3,02 September 2020,90681,ATM120044005,GRAHA ENERGY,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,ozi medina ,
4,09 September 2020,89466,ATM120047014,,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", , , , ,M. Yani ,
5,29 Maret 2020,87602,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
6,27 April 2020,87445,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
7,24 November 2020,89385,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
8,24 Agustus 2020,87409,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
9,22 Juni 2020,87425,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
10,21 September 2020,87604,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
11,27 Juli 2020,87417,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
