No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
1.0,16 Juli 2020,88826.0,ATM00001,RUANG UAT DPTI,Error ,Hardware ,"Check & Clean all devices, replace ............... / no replace, test OK. ",2007-100 ,Hard Disk ,1 , ,M. Yani ,
2.0,03 Maret 2020,86010.0,ATM120029008,PLN AHMAD YANI,Error ,Hardware ,"Check & Clean all devices, replace EPP5 & CCA DISPENSER, test OK. ",2003-028 ,CCA Dispenser (CCA Kit Presenter Ctrl.) 49-74724-0 ,1 , ,Hendri Apridzal ,
2.0,03 Maret 2020,86010.0,ATM120029008,PLN AHMAD YANI,Error ,Hardware ,"Check & Clean all devices, replace EPP5 & CCA DISPENSER, test OK. ",2003-028 ,"EPP5(BSC),LGE,STTL,ENG(AU),QZ1,BLANK,X,I,O ",1 , ,Hendri Apridzal ,
3.0,02 September 2020,90681.0,ATM120044005,GRAHA ENERGY,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,ozi medina ,
4.0,09 September 2020,89466.0,ATM120047014,,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", , , , ,M. Yani ,
5.0,29 Maret 2020,87602.0,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
6.0,27 April 2020,87445.0,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
7.0,24 November 2020,89385.0,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
8.0,24 Agustus 2020,87409.0,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
9.0,22 Juni 2020,87425.0,ATM20002001,BKP MEDAN,PM pertama,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
